,word,meaning,urls
130,aḍι cʸōr,halfwit,
131,aḍι cʸōr,stupid,
132,aḍι cʸōr,lunatic,
133,aḍι ōm,incomplete,
134,aḍι ōm,half-done,
135,aḍι ōm,half-prepared,
136,aḍι ōm,half-baked,
137,aḍι ōm,half-dressed,
138,aḍι buz,half-roasted,
139,aḍιkol,one who stammer,
140,aḍιkol,to pause or falters in speaking,
141,aḍι pop,unripe,
142,aḍι pop,incomplete,
143,aḍι pop,immature,
144,aḍιmōr,grievous bodily harm by severe and repeated blows and kicks,
145,aḍḍι,stand,
146,aḍḍι,stop,
147,aḍḍι,station,
148,aḍḍι,(air)port,
149,aḍamzaḍ,not used to best advantage,
150,aḍamzaḍ,very little,
151,aḍamzaḍ,used regarding the partial return of something deposited,
152,afgə̄n,one from Afghanistan,
153,aḍιwot,midway between two points,
154,aḍιwot,half-way,
155,aḍιpʰol,shrink,
156,aḍιpʰol,decrease,
157,aḍιpʰol,undeveloped,
158,aḍιpʰol,do not come into flower,
159,aḍιʦot,one who has died at very young age,
160,afgān,name of a country,
161,afgān,Afghanistan,
162,aflātōn,plato- name of a very famous Greek philosopher,
163,aflātōn,boaster,
164,afsānι,short story,
165,afsānι,fiction,
166,afsānι,concocted story,
167,afrā-tafrī,hurly-burly,
168,afrā-tafrī,hurry-scurry,
169,afrā-tafrī,confusion,
170,afrā-tafrī,chaos,
171,afsūs,alas,
172,afsūs,sorrow,
173,afsūs,woe,
174,afsūs,distress,
175,afsūs,trouble,
176,afsūs,remorse,
177,afsūs,repentance,
178,afvah,rumor,
179,afvah,doubt,
180,afsar,officer,
181,afsar,official,
182,afsar,executive,
183,afsar,administrator,
184,afvā pʰə̄lāwun,to rumor,
185,afvā pʰə̄lāwun,hearsay,
186,afvā pʰə̄lāwun,gossip,
187,afvā pʰə̄lāwun,town-talk,
188,afvə̄y,person who is spreading rumor,
189,afšāⁿ,tinsel,
190,afšāⁿ,bedecking face,
191,afšāⁿ,hair etc,
192,afzal,excellent,
193,afzal,supreme,
194,afzal,outstanding,
195,afzal,brilliant,
196,agarci,even if,
197,agarci,even though,
198,agarci,although,
199,agan bōṭ,motor-boat,
200,agan bōṭ,speed-boat,
201,agan bōṭ,power-boat,
202,agar nι,if not,
203,agar nι,unless,
204,agar,although,
205,agar,if,
206,agar,in case,
207,agə̄r,stranger,
208,agə̄r,unfamiliar,
209,agrāz,pl of garιz,
210,agrāz,aim,
211,agrāz,motive,
212,agrāz,object,
213,agrāz,purpose,
214,agrāz,intension,
215,agrāz,concern,
216,agast,August,
217,agar magar,hesitation,
218,agar magar,excuses,
219,agar magar,ifs and buts,
220,agun,dense,
221,agun,dark,
222,agun,opaque,
223,agur kul,a kind of plant,
224,ah,(numerically; used as affix) about,
225,ah,approximately,
226,ah,roughly,
227,ah,nearly,
228,ah,not far off from,
229,ah,sigh,
230,ah,exhale noisily,
231,agvā,abduction,
232,agvā,kidnap,
233,agvā,enticement,
234,agə̄fil,inattentive,
235,agə̄fil,unmindful,
236,agə̄fil,negligent,
237,agə̄fil,remiss,
238,agur kaṭʰ,wood of ‘agur kul’,
239,ahadnāmι,treaty,
240,ahadnāmι,agreement,
241,ahadnāmι,contract,
242,ahadnāmι,settlement,
243,ahamdī,name of a sect in Muslim community,
244,ahad karun,swear,
245,ahad karun,give your word,
246,ahad karun,promise,
247,ahansa,yes,
248,ahansa,why not?,
249,ahansa,okay,
250,ahmak,thick skulled,
251,ahmak,very foolish,
252,ahmak,silly,
253,ahmak,dunce,
254,ajdād,one from whom a person is descended,
255,ajdād,a forefather something regarded as a forerunner,
256,ahtiyāt,vigilance,
257,ahtiyāt,watchfulness,
258,ahtiyāt,care,
259,ahtiyāt,caution,
260,ahtiyāt,attention,
261,ahtiyāt,observation,
262,ahtiyāt,alertness,
263,ahtiyāt,awareness,
264,ajant,a person that acts or has influence,
265,ajal,death,
266,ajal,decease,
267,ajal,mortality,
268,ajerʸ,benefit from good deeds,
269,ajhal,most ignorant,
270,ajhal,ignoramus,
271,ajhal,dunce,
272,ajnǝbī,stranger,
273,ajnǝbī,foreigner,
274,ajnǝbī,alien,
275,ajīb,magnificent,
276,ajīb,superb,
277,ajīb,fantastic,
278,ajīb,amazing,
279,ajvǝnʸ,a spice of dill,
280,ajvǝnʸ,dill seed,
281,akaḍ,pride,
282,akaḍ,stiffness,
283,akaḍ,vanity,
284,akaḍ,arrogance,
285,akādmī,academy,
286,akaḍī,proud,
287,akaḍī,haughty,
288,akaḍī,arrogant,
289,akāl,timeless,
290,akāl,eternal,
291,akāl,God’s attribute,
292,akbar,& n.m. greatest,
293,akbar,supreme,
294,akbar,appellation of a Great Mughal,
295,akbar,a male Muslim name,
296,akis,article very frequently employed as an indefinite article,
297,aki laṭi,once,
298,aki laṭi,one time,
299,aki laṭi,just the once,
300,aki pʰiri,once,
301,aki pʰiri,one time,
302,aki pʰiri,just the once,
303,akιl,intelligence,
304,akιl,wisdom,
305,akιl,sense,
306,akliwarǝy,foolish,
307,akliwarǝy,stupid,
308,akliwarǝy,irrational,
309,aklirust,foolish,
310,aklirust,stupid,
311,aklirust,irrational,
312,akliyet,least,
313,akliyet,minimum,
314,aklι-bakl,do something foolish,
315,aklι-bakl,take a wrong decision,
316,akor,un-boiled,
317,akor,un-sterilized,
318,akot,un-spun,
319,aksǝryēt,majority,
320,aksīr,remedy,
321,aksīr,panacea,
322,aksīr,alchemy,
323,aktūbar,October,
324,akun,exhausted,
325,akun,tired,
326,akun,weary,
327,akιbī,alternately,
328,akιbī,repeated after a day’s gap,
329,akιbī,occurring in turns,
330,akūⁿtaⁿt,accountant,
331,aksar,mostly,
332,aksar,frequently,
333,aksar,often,
334,akιhārι,gym,
335,akιhārι,fitness centre,
336,akιhārι,arena,
337,akιhot,perplexed,
338,akιhot,confused,
339,akιhot,disturbed,
340,akιhə̄ṭʰ,sixty-one,
341,akιhə̄ṭʰʸum,sixty-first,
342,akιnandun,the only-son,
343,akιnǝmatʰ,ninety-one,
344,akιsattatʰ,seventy-one,
345,akιnǝmtihʸum,ninety-first,
346,akιšītʰ,eighty-one,
347,akιsatihʸum,seventy-first,
348,akιšītihum,eighty-first,
349,akιtrιh,thirty- one,
350,akιtə̄ji,forty-one,
351,akιtrῑhyum,thirty-first,
352,akιtə̄jihiyum,forty-first,
353,akιvanzah,fifty-one,
354,akιvanzihiyum,fifty-first,
355,akιvoh,twenty-one,
356,akʰ akis pʸeṭʰ,one after the other,
357,akʰ akis pʸeṭʰ,continuous,
358,akʰ akis pʸeṭʰ,end-to-end,
359,akʰ akʰ,distributively,
360,akʰ akʰ,one each,
361,akʰ akʰ,one another,
362,akιvohiyum,twenty-first,
363,akʰ akis madǝtʰ karān,help one another,
364,akʰ akis,one another,
365,akʰ akis,similarly,
366,akʰlāk,manners,
367,akʰlāk,ethics,
368,akʰlāk,virtues,
369,akʰlāk,morality,
370,akʰ,one,
371,akʰ pʰʸūr,droplet,
372,akʰbārnǝvīs,new writer,
373,akʰbār nǝvīsī,journalism,
374,akʰbār nǝvīsī,profession of working journalist,
375,akʰrājāt,expenses,
376,akʰrājāt,charges,
377,akʰrājāt,costs,
378,akʰrājāt,disbursement,
379,akʰbār,newspaper,
380,al,bitter-guard,
381,alag kun,aside,
382,alag kun,to one side,
383,alag kun,away,
384,alag kun,apart,
385,alag kun,out-of-the-way,
386,alāb,syncopate,
387,alāb,synchronize,
388,alāb,bring in to line,
389,alāb,orchestrate,
390,alāb,harmonize,
391,alāb,tone,
392,alag alag,various,
393,alag alag,a variety of,
394,alag alag,a range of,
395,alag alag,diverse,
396,alag,distinct,
397,alag,separate,
398,alag,different,
399,alag,individual,
400,alag,clear,
401,alabdι,signature,
402,alabdι,autograph,
403,alabdι,name,
404,amb,mango,
405,amb kul,mango tree,
406,alam,flag,
407,alākι,location,
408,alākι,estate,
409,alākι,land,
410,alākι,domain,
411,alāv,a fire in a pit in the open,
412,alāv,a bonfire,
413,alfāz,words,
414,alfāz,vocabulary,
415,alfāz,expressions,
416,alārām,alarm,
417,alārām,automatic device to arouse from sleep,
418,alāvι,extra,
419,alāvι,additional,
420,alāvι,spare,
421,alāvι,second,
422,alāvι,superfluous,
423,albatǝ,however,
424,albatǝ,although,
425,albatǝ,even though,
426,algə̄b,by chance,
427,algə̄b,all of sudden,
428,algə̄b,unknowing,
429,algə̄b,unawares,
430,alim,knowledge,
431,alim,wisdom,
432,alim,education,
433,ališ,linseed,
434,alkʰǝnās ʦʰιnun,superstitious,
435,alkʰǝnās ʦʰιnun,fearful,
436,alkʰǝnās ʦʰιnun,visionary,
437,alkʰǝnās aʦun,scared,
438,alkʰǝnās aʦun,afraid,
439,aljabrā,algebra,
440,alkāb,title,
441,alkāb,appellation,
442,allah allah kʰə̄r sǝlah,thank God it is all over,
443,allah allah kʰə̄r sǝlah,that was end to it,
444,alkʰǝnās,fear,
445,alkʰǝnās,superstition,
446,alkʰǝnās,apprehend,
447,alkʰǝnās,doubt,
448,alkʰǝnās,anxiety,
449,aliιtīl,linseed oil,
450,allah allah karun,take the name of God,
451,allah allah karun,fear God,
452,allah allah karun,with great difficulty,
453,allah hu,& phrase worship God,
454,allah,āllah,
455,allah,God,
456,allahu-akbǝr,my goodness,
457,almās,diamond,
458,almə̄r,cabinet,
459,almə̄r,cupboard,
460,alnāwun,to shake,
461,alnāwun,shiver,
462,alnāwun,shudder,
463,alsēṭʰʸ,big,
464,alsēṭʰʸ,fat,
465,alsēṭʰʸ,overweight,
466,alsēṭʰʸ,round,
467,alsēṭʰʸ,heavy,
468,alιvōⁿt,hang,
469,alιvōⁿt,drape,
470,alιvōⁿt,droop,
471,altʰān,pub,
472,altʰān,bar,
473,altʰān,tavern,
474,alēkʸšan,election,
475,alēkʸšan,voting,
476,alι alι,shivering,
477,alι alι,shaking,
478,alι bə̄l,idiot,
479,alι bə̄n,a plough,
480,alι gǝḍ malι gǝḍ tulin,make a noise,
481,alι gǝḍ malι gǝḍ tulin,disturb,
482,alι gǝḍ malι gǝḍ tulin,hoot,
483,alι gǝḍ malι gǝḍ tulin,clamour,
484,alι gogōs,swing,
485,alι gogōs,a cradle,
486,alι gogōs,the swing rope,
487,alι pal,near,
488,alι pal,resembling,
489,alι pʰāl,ploughshare,
490,alι trāⁿgιr,large family,
491,alι trāⁿgιr,encumbrance,
492,alι trāⁿgιr,heavy work,
493,alιvān,shawl of wool of endangered goat called pǝšmīna,
494,alι,shake,
495,alι,quake,
496,alι,tremble,
497,alι kul,gourd tree,
498,amā,but,
499,amā,other than,
500,amā,however,
501,amā,although,
502,amal karin,abide by,
503,amal karin,act in accordance with,
504,amal karin,fulfill,
505,amal karin,obey,
506,aman,harmony,
507,amānat,buildup,
508,amānat,leave,
509,amānat,behind,
510,amānat,lay down,
511,amānat,deposit,
512,amə̄n jǝhāz,ship,
513,and,border,
514,and,limit,
515,and,margin,
516,and,rim,
517,and,edging,
518,and,perimeter,
519,and,circumference edge,
520,andar yun,to enter,
521,andar,& prep. within,
522,andar,inside,
523,andar,in,
524,andar,contained by,
525,andar,indoors,
526,andar,at home,
527,andar,inwards,
528,andar,arrived,
529,andar kun,inwards,
530,andar kun,at home,
531,andar kun,indoors,
532,andēšι,apprehension,
533,andēšι,fearfulness,
534,andιrust,endless,
535,andιrust,continual,
536,andιrust,nonstop,
537,andιrust,never-ending,
538,aŋ,skin type in reference to heeling of wound,
539,angrēz,English,
540,anigaṭι,night,
541,anigaṭι,dark,
542,anigaṭι,dusk,
543,animι,rice-gruel,
544,animι,starch,
545,anjām warə̄y,without conclusion,
546,anjām,end,
547,anjām,conclusion,
548,anjām,last part,
549,anjām,ending,
550,angrēzi,English language,
551,anhǝriš,virgin,
552,anun,to bring,
553,anun,carry,
554,anun,take,
555,anun,fetch,
556,anun,transport,
557,anwār,turn,
558,anwār,rotation,
559,anwār,change,
560,anwār,service,
561,anwār,shifts,
562,ant,end,
563,ant,finish,
564,ant,ending,
565,apāri,on the other side,
566,apāri,sideways,
567,apāri,to the other side,
568,apōr,across,
569,apōr,crosswise,
570,apōr,on the cross,
571,apok,unripe,
572,apok,not ready to be eaten or harvested,
573,apok,immature,
574,apīl,an appeal in the law-courts,
575,apōr yepōr,both the sides,
576,apōr yepōr,one and the other also,
577,apōr tarun,go across,
578,apōr tarun,cross,
579,apotur,childless,
580,apotur,barren,
581,apotur,sterile,
582,apotur,infertile,
583,apotur,unfruitful,
584,aprād,sin,
585,aprād,an offense,
586,aprād,a misdeed,
587,aprād,a fault,
588,aprād,a wicked act,
589,apsarā,very attractive women or girl,
590,aprēl,april,
591,aprēl,fourth month of the year having thirty days,
592,apuzdǝrī,perjury,
593,apuzdǝrī,false swearing,
594,aprēšem,a surgical procedure,
595,aprēšem,operation,
596,apuz wanun,to lie,
597,apuz,lying,
598,apuz karun,lie,
599,apuz karun,incorrect,
600,apuz karun,an untrue statement made with intent to deceive,
601,apuz karun,something that deceive or mislead,
602,aputι,dirty,
603,aputι,filthy,
604,aputι,unclean,
605,aputι,not new,
606,apιzʸōr,one who lies or deceives or mislead others,
607,apιzʸōr,liar,
608,apə̄ryum,from one side to other,
609,apə̄ryum,on the other side,
610,apʰιrā tʰapʰarī,haltingly,
611,apʰιrā tʰapʰarī,confusions,
612,apʰιrā tʰapʰarī,muddle,
613,apʰιrā tʰapʰarī,bewilderment,
614,apʰarvaṭ,a name of a hill in Kashmir,
615,arab,Arab,
616,arab,Arabia,
617,apʰur,titillating,
618,apʰur,mischievous,
619,arabī,Arabian,
620,aram,wisdom tooth,
621,aram,molar tooth,
622,arbāb,owners,
623,arbāb,proprietors,
624,arbāb,lords,
625,arbāb,member,
626,arbutʰ,pull a long face,
627,arcǝkʰ,handcuff,
628,arcǝkʰ,either of a pair of connected steel rings for shackling the wrist of a prisoner,
629,ardābι,feed comprising of grind corn for animals,
630,ardə̄l,orderly,
631,ardə̄l,peon,
632,arer kāsun,laid waste,
633,arer kāsun,corrupt,
634,arer kāsun,depraved,
635,arfι,major Haj day,
636,arfι,day before sacrificial Eid,
637,arfι,day preceding either Eid,
638,arer,sound healthy,
639,arer,good condition,
640,arer,good relation,
641,argaj,a perfume made from sandalwood,
642,argaj,rose,
643,argaj,saffron,
644,argaj,musk,
645,arhar,a kind of pulse,
646,arhar,arhar,
647,arhə̄ṭʰ,sixty-eight,
648,arjent,urgent,
649,arjent,calling for immediate attention,
650,arhῑṭʰʸum,sixty-eighth,
651,armān,wish,
652,armān,desire,
653,armān,wistfulness,
654,armān,longing,
655,armān,yearning,
656,arnamatʰ,ninety-eight,
657,arnamtιhum,ninety-eighth,
658,arsah,period,
659,arsah,interval,
660,arsah,space of time,
661,arsah,duration,
662,arnιkāl,& n. suffers or bears pain,
663,arnιkāl,run down by misfortune,
664,arsǝtatʰ,seventy-eight,
665,arsǝtʸum,seventy-eighth,
666,artal,golden-paper,
667,artal,silver-paper,
668,aršīttʸum,eighty-eighth,
669,aršīt,eighty-eight,
670,artrιh,thirty-eight,
671,ahrι,fear,
672,ahrι,threat,
673,ahrι,danger,
674,artʰātʰ,in this way,
675,artʰātʰ,so,
676,artʰātʰ,therefore,
677,artʰ,meaning,
678,artʰ,sense,
679,artʰ,significance,
680,artʰ,purpose,
681,artʰ,significance,
682,artʰ,intention,
683,artʰ,meaning,
684,artʰ,implication,
685,artrιhʸum,thirty-eighth,
686,arʦan,Hindu worship,
687,arʦan,a Hindu religious worship,
688,arʦan,idol worship,
689,arʦun,to do worship,
690,arun retʰ,evening star,
691,arun retʰ,morning star,
692,arun retʰ,Venus,
693,arιvarι,from one end to other,
694,arιvarι,pierced through across,
695,arvanzehʸum,fifty-eighty,
696,arvanzah,fifty-eight,
697,arz karanwōl,suppliant,
698,arz,appeal,
699,arz,petition,
700,arz,formally request,
701,arz,request,
702,arιdah,& adj. eighteen,
703,arι,act of pulling or being pulled,
704,arι,a tug,
705,arιdə̄hʸum,eighteenth,
706,arιš,the empyrean,
707,arιš,throne,
708,arιš,high,
709,arιtə̄jih,forty-eight,
710,arιtə̄jihʸum,forty-eighth,
711,arι,creaking of wood,
712,arιz karun,request,
713,arιz karun,representation,
714,arιz karun,petition,
715,asalāmu-alə̄kum,greeting expression in Muslims,
716,as,to emit explosive inarticulate vocal sounds expressive of amusement,
717,as,joy or derision,
718,asān asān,gladly,
719,asān asān,happily,
720,asbāb,baggage,
721,asbāb,luggage,
722,asbāb,belongings,
723,asbāb,cases,
724,asar,mark,
725,asar,impression,
726,asar,influence,
727,asar,effect,
728,asar,trace,
729,asan kʰaⁿgālι,laughter,
730,asan kʰaⁿgālι,big smile,
731,asan kʰaⁿgālι,burst with laughter,
732,asan kʰaⁿgālι,jest,
733,asan kʰaⁿgālι,ridicule,
734,asatʰ,an untrue statement made with intent to deceive,
735,asatʰ,something that deceives or misleads,
736,asbarag,a kind of flower,
737,asbǝ,a kind of white colour bee,
738,asɔndǝr,ugly,
739,asɔndǝr,unattractive,
740,asɔndǝr,unappealing,
741,asɔndǝr,unlikable,
742,asιl,noble,
743,asιl,polite,
744,asǝl zāt,caste,
745,asǝl zāt,class,
746,asǝl zāt,origin,
747,asǝl zāt,background,
748,asǝl zāt,kind,
749,absāwun,to twist thread,
750,asambιlī,assembly,
751,asambιlī,in democratic country members of legislative assembly are being assembled,
752,ashāb,companions (of the Holy Prophet),
753,ashāb,friends,
754,ashāb,comrade,
755,aslī,reality,
756,aslī,basic facts about origin,
757,aslī,genuineness,
758,aslī,authentic,
759,aslī,purity,
760,aslāf,forefathers,
761,aslāf,ancestors,
762,aslāf,progenitors,
763,asmān,the sky,
764,asmān,the apparent vault over the earth,
765,asmēn,sky blue colour,
766,asmə̄n ǝnz,a bird,
767,asmə̄n ǝnz,crane,
768,asmə̄n ǝnz,a large wading bird with very long legs and neck,
769,asmə̄n balāy,devastation,
770,asmə̄n balāy,destruction,
771,asōsēšǝn,association,
772,asōsēšǝn,society,
773,asōsēšǝn,union,
774,asōsēšǝn,assembly,
775,astān,shrine,
776,astān,holy place,
777,astān,memorial,
778,astar,donkey,
779,astǝr,the lining of a garment,
780,astʰ,setting of sun,
781,astʰ,moon,
782,astʰ,star etc,
783,astʰ,,
784,asun trāvun,to laugh,
785,astι,cubit,
786,astι,an ancient measure of about 18 inch,
787,astι,the forearm from the elbow to the wrist,
788,asvad,& n. black,
789,asvad,negro,
790,asun,smile,
791,asun,beam,
792,asun,grin,
793,asūr,infinite,
794,asūr,an unlimited number,
795,asūr,quantity,
796,asūr,or time period; inestimable,
797,asūr,immeasurable,
798,asūr,vast,
799,asūr,immense,
800,astι astι,slowly,
801,astι astι,unhurriedly,
802,astι astι,bit by bit,
803,asə̄m,client,
804,asə̄m,customer,
805,asə̄m,shopper,
806,asə̄m,buyer,
807,asə̄m,purchaser,
808,asə̄m,patron,
809,asʸuv,unboiled,
810,asʸuv,uncooked,
811,ašarfī,gold coin,
812,ašarfī,gold coin worth 16 rupees,
813,asιvun,cheerful,
814,asιvun,merry,
815,asιvun,jocose,
816,ašɔn,auspicious moment in Hindu belief,
817,ašid,September,
818,ašrāf,nice people,
819,ašrāf,gentleman,
820,ašrāf,the high-born,
821,ašrāf,aristocracy,
822,ašrāf,noble,
823,aškι,bone joint,
824,ašṭι,eight,
825,agun,fire,
826,ašṭǝmī,eighth day of Hindu month,
827,ašrǝful makʰlōkāt,mankind,
828,ašrǝful makʰlōkāt,man (most eminent of the created beings),
829,ašud,a kind of medicine for eye disease,
830,astι,secretly,
831,astι,on the sly,
832,astι,slowly,
833,ašub,uproar,
834,ašub,ill-luck,
835,ašub,tempest,
836,ašub,disturbance,
837,ašub,tumult,
838,ašvǝl,prostitute,
839,ašvǝl,characterless woman,
840,atur,a blunder,
841,atur,lacking grace to do something,
842,atur,error,
843,atur,mistake,
844,atvār,conduct,
845,atvār,behaviour,
846,atvār,ways,
847,atvār,manners,
848,atvār,practice,
849,atvār,customs,
850,atrāf,direction,
851,atrāf,side,
852,atrāf,extremities,
853,atrāf,environs,
854,atrāf,outpost,
855,atrāf,suburbs,
856,ati,there,
857,ati,that place or point,
858,ati,thereabout,
859,atrə̄f,extravagant person,
860,atrə̄f,prodigal,
861,atrə̄f,spendthrift,
862,aṭam bam,atom bomb,
863,atʰ,with,
864,atʰ,denotes nearness or agreement,
865,atʰarvēd,one of the Hindu scriptures (Hindu Metaphysics Vedanta),
866,atʰuk,anything which is done with hands like handicraft,
867,atʰι anun,to withdraw,
868,atʰι anun,to draw back or away,
869,atʰι anun,to retract,
870,atʰι bāji,musical instrument,
871,atʰι bāji,harmonium,
872,atʰι palzun,help,
873,atʰι palzun,assistance,
874,atʰι palzun,reinforcement,
875,atʰι palzun,aid,
876,atʰι mīṭʰ,to kiss hand,
877,atʰι pιṭʰrun,to wash hands,
878,atʰι trāwun,let go,
879,atʰι trāwun,free,
880,atʰι trāwun,let loose,
881,atʰι trāwun,leave go of,
882,atʰι trāwun,release,
883,atʰι ʦoṭ,chapati,
884,atʰι ʦoṭ,handmade bread,
885,atʰι,hand,
886,atʰι-panjι,gloves,
887,aṭal,stand up,
888,aṭal,to with stand criticism,
889,aṭal,to tolerate,
890,aṭal,close examination,
891,aṭal,strong opinion,
892,aṭʰkal,with interest,
893,aṭʰkal,devotedly,
894,aṭʰkal,enthusiastically,
895,atʰιvās,handshake,
896,atʰιvās,a grasping and shaking of a person’s hand as a greeting or when concluding an agreement,
897,aṭʰowuh,twenty-eight,
898,aṭʰowuhyum,twenty-eighth,
899,aʦʰunʸ,breakable,
900,aʦʰunʸ,fragileness,
901,aʦʰunʸ,delicate,
902,aʦʰunʸ,weak,
903,aʦʰunʸ,flimsy,
904,aʦʰunʸ,poor,
905,aʦnēr,visits and return visits,
906,aʦōp,not masticate,
907,aʦōp,not reduced to a pulp,
908,avhāl,condition,
909,avhāl,situation,
910,avhāl,state,
911,avhāl,circumstances,
912,aʦun,to come,
913,aʦun,to approach,
914,aʦun,to enter,
915,aʦun,to finish in a certain position,
916,avsat,average,
917,avsat,regular,
918,avsat,mean,
919,avsat,norm,
920,aʦ,get in,
921,aʦ,enter,
922,aʦ,join,
923,ayāⁿ,manifest,
924,ayāⁿ,obvious,
925,ayāⁿ,patent,
926,ayāⁿ,clear,
927,ayāⁿ,visible,
928,az kāl,these days,
929,az nǝtι adι kar,do not leave tomorrow what you can do today,
930,az pʸeṭ,from today,
931,az pʸeṭ,henceforth,
932,az pʸeṭ,hence,
933,az az,these days,
934,az az,nowadays,
935,az kālι,present day world,
936,az kālι,modern times,
937,az kālι,nowadays,
938,az pǝgah karun,& phrase shirk work,
939,az pǝgah karun,put of work,
940,az pǝgah karun,postpone,
941,az rātǝs,that night,
942,az rātǝs,this night,
943,az subhan,this morning,
944,azāb,punishment,
945,azāb,torture,
946,az šāmǝs,this evening,
947,az,& v. today,
948,az,this day,
949,azalnāmι,result,
950,azalnāmι,luck,
951,azalnāmι,fate,
952,azalnāmι,fortune,
953,azalnāmι,destiny,
954,azal,beginning,
955,azal,eternity,
956,azal,source,
957,azal,origin,
958,azār,sorrow,
959,azār,grief,
960,azār,sadness,
961,azār,worry,
962,azān,a call for prayer in Muslims,
963,azarwōn,apprehensive of or hostile towards someone thought of as a rival,
964,azarwōn,resentful,
965,azarwōn,envious,
966,azǝrwə̄n,envious,
967,azǝrwə̄n,covetous,
968,azǝrwə̄n,resentful,
969,azǝrwə̄n,jealous,
970,azhad,unrestricted,
971,azhad,boundless,
972,azhad,illimitable,
973,azīmu-šān,magnificent,
974,azīmu-šān,wonderful,
975,azīz,& n. dear,
976,azīz,mighty; relative,
977,azīz,friend,
978,azlῑ lōn,misfortune,
979,azlῑ lōn,unlucky,
980,azkār gǝʦun,& v. hinder,
981,azkār gǝʦun,handicap,
982,azkār gǝʦun,mental or physical impairment,
983,azmāvun,to examine critically,
984,azmāvun,try,
985,azmāvun,experiment,
986,azmāvun,test,
987,azmāvun,scrutinize,
988,azmāyiš karin,examination,
989,azmāyiš karin,trial,
990,azmāyiš karin,test,
991,azmāyiš karin,proof,
992,azmoⁿmut,tried,
993,azmoⁿmut,examined,
994,azmoⁿmut,checked out,
995,azmə̄yiš,temptation,
996,azmə̄yiš,persuasion,
997,azmə̄yiš,pull,
998,azmə̄yiš,inducement,
999,azmə̄yiš,examnination,
1000,azov,milk which is not curdled by bacteria,
1001,azov,non- fermented milk,
1002,aztām,till now,
1003,aztām,yet,
1004,aztām,so far,
1005,azə̄nʸ,stranger,
1006,azə̄nʸ,foreigner,
1007,azə̄nʸ,alien,
